sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_060,3/22/2016,200_III,5-15,29.00,,,,871.35,70.58,3.17,182.76,63.14,6.77,136.32,41.28,2273.56
FACE_061,3/22/2016,280_I,0-5 ,29.27,,,,850.78,70.56,2.81,,158.12,9.39,32.17,53.60,2669.49
FACE_062,3/22/2016,280_I,5-15,20.93,,,,879.57,58.02,2.47,244.95,57.88,4.51,37.21,35.58,4086.96
FACE_063,3/22/2016,280_II,0-5 ,31.56,,,,895.53,71.16,2.52,43.45,82.16,5.86,23.16,63.23,2453.04
FACE_064,3/22/2016,280_II,5-15,25.48,,,,818.11,120.86,2.28,205.19,187.64,8.45,10.69,23.28,1374.56
FACE_065,3/22/2016,280_III,0-5 ,29.15,,,,961.44,77.97,2.74,,234.83,6.74,34.06,99.96,3079.98
FACE_066,3/22/2016,280_III,5-15,26.50,,,,919.75,69.21,2.59,,166.48,4.78,28.13,50.88,4653.01
FACE_067,3/22/2016,360_I,0-5 ,28.35,,,,1096.30,81.80,2.61,,180.72,4.76,63.98,102.04,3092.07
FACE_068,3/22/2016,360_I,5-15,27.31,,,,1044.75,70.82,2.16,130.75,72.75,14.58,49.10,96.81,3360.41
FACE_069,3/22/2016,360_II,0-5 ,27.68,,,,1068.13,65.54,2.48,,227.89,5.86,67.25,214.35,3447.70
FACE_070,3/22/2016,360_II,5-15,25.64,,,,826.00,44.46,2.58,222.28,79.67,9.77,19.35,53.13,2903.63
FACE_071,3/22/2016,360_III,0-5 ,,,,,1025.32,70.95,2.39,158.76,77.69,6.24,43.08,184.60,4419.90
FACE_072,3/22/2016,360_III,5-15,26.32,,,,1010.46,58.79,2.77,31.62,67.87,9.37,18.77,65.93,2401.86
FACE_073,3/22/2016,440_I,0-5 ,32.64,,,,1107.69,75.71,3.34,,183.76,8.03,42.54,242.92,4072.44
FACE_074,3/22/2016,440_I,5-15,25.51,,,,959.64,67.76,2.17,,0.92,8.79,20.56,82.53,3190.61
FACE_075,3/22/2016,440_II,0-5 ,27.87,,,,1085.95,142.80,2.25,,115.92,5.63,25.84,141.77,3479.21
FACE_076,3/22/2016,440_II,5-15,25.74,,,,752.25,58.69,2.16,313.71,72.50,6.48,20.51,68.68,2899.47
FACE_077,3/22/2016,440_III,0-5 ,23.92,,,,932.38,71.94,4.58,,156.12,3.33,34.25,143.40,3874.32
FACE_078,3/22/2016,440_III,5-15,22.39,,,,1156.47,69.04,2.66,,166.26,6.47,15.95,52.66,2359.24
FACE_079,4/16/2016,40_I,0-5 ,33.50,,,,,,0.62,,,5.02,48.41,250.43,15625.12
FACE_080,4/16/2016,40_I,5-15,26.59,,,,,,0.83,,,,19.44,175.74,9899.11
FACE_081,4/16/2016,40_II,0-5 ,31.27,,,,,,0.78,,,0.83,67.66,200.54,5030.49
FACE_082,4/16/2016,40_II,5-15,27.79,,,,,,0.18,,,1.50,13.89,61.43,4315.02
FACE_083,4/16/2016,40_III,0-5 ,28.60,,,,,,0.55,,,0.39,76.62,279.90,8400.35
FACE_084,4/16/2016,40_III,5-15,24.65,,,,,,0.41,,,1.21,14.54,52.25,2549.65
FACE_085,4/16/2016,120_I,0-5 ,25.13,,,,,,0.49,,,3.37,39.92,195.05,6100.79
FACE_086,4/16/2016,120_I,5-15,24.13,,,,,,0.73,,,0.07,24.14,76.56,3583.99
FACE_087,4/16/2016,120_II,0-5 ,26.64,,,,,,1.35,,,0.46,44.86,143.12,1659.19
FACE_088,4/16/2016,120_II,5-15,25.90,,,,,,0.48,,,2.47,16.36,39.84,3138.22
FACE_089,4/16/2016,120_III,0-5 ,33.33,,,,,,1.49,,,2.76,75.53,569.18,8622.96
FACE_090,4/16/2016,120_III,5-15,26.41,,,,,,0.45,,,0.90,14.47,65.76,4326.71
FACE_091,4/16/2016,200_I,0-5 ,27.90,,,,,,1.28,,,0.45,35.15,122.70,3679.78
FACE_092,4/16/2016,200_I,5-15,25.87,,,,,,0.58,,,1.29,15.87,27.31,2853.19
FACE_093,4/16/2016,200_II,0-5 ,33.49,,,,,,1.03,,,2.42,88.33,255.38,7460.52
FACE_094,4/16/2016,200_II,5-15,26.93,,,,,,0.74,,,0.53,17.04,42.97,3045.08
FACE_095,4/16/2016,200_III,0-5 ,29.99,,,,,,0.69,,,1.23,54.44,200.79,5700.61
FACE_096,4/16/2016,200_III,5-15,26.01,,,,,,0.40,,,3.27,15.07,32.26,1990.24
FACE_097,4/16/2016,280_I,0-5 ,37.77,,,,,,1.23,,,0.46,18.30,85.15,2682.81
FACE_098,4/16/2016,280_I,5-15,25.02,,,,,,0.84,,,0.41,21.55,59.82,2616.40
FACE_099,4/16/2016,280_II,0-5 ,25.30,,,,,,1.06,,,0.28,25.31,97.93,2817.89
FACE_100,4/16/2016,280_II,5-15,24.47,,,,,,0.70,,,2.24,13.44,35.37,1728.82
FACE_101,4/16/2016,280_III,0-5 ,25.78,,,,,,1.37,,,,24.13,97.06,3397.35
FACE_102,4/16/2016,280_III,5-15,24.54,,,,,,0.72,,,0.54,34.02,71.12,2911.61
FACE_103,4/16/2016,360_I,0-5 ,26.73,,,,,,1.02,,,0.25,43.14,108.06,2966.05
FACE_104,4/16/2016,360_I,5-15,25.03,,,,,,0.69,,,1.68,22.19,68.62,2102.95
FACE_105,4/16/2016,360_II,0-5 ,27.94,,,,,,2.03,,,1.04,43.54,236.75,2970.36
FACE_106,4/16/2016,360_II,5-15,27.07,,,,,,1.40,,,0.33,59.28,106.17,4028.36
FACE_107,4/16/2016,360_III,0-5 ,29.06,,,,,,1.40,,,1.12,39.22,121.10,3091.06
FACE_108,4/16/2016,360_III,5-15,25.20,,,,,,0.69,,,1.83,15.78,40.19,2373.56
FACE_109,4/16/2016,440_I,0-5 ,31.49,,,,,,1.55,,,0.43,25.64,174.29,4546.99
FACE_110,4/16/2016,440_I,5-15,25.74,,,,,,1.63,,,,14.99,79.32,2185.90
FACE_111,4/16/2016,440_II,0-5 ,25.93,,,,,,1.93,,,1.58,54.87,905.20,7010.02
FACE_112,4/16/2016,440_II,5-15,23.36,,,,,,1.11,,,2.29,16.06,34.90,2031.76
FACE_113,4/16/2016,440_III,0-5 ,29.31,,,,,,0.93,,,0.24,58.84,301.05,4734.65
FACE_114,4/16/2016,440_III,5-15,24.98,,,,,,1.96,,,1.40,30.53,70.84,2481.56
FACE_115,5/2/2016,40_I,0-5 ,43.90,,,,2567.07,127.06,3.88,,21.99,2.01,64.54,396.15,4654.95
FACE_116,5/2/2016,40_I,5-15,29.65,,,55.06,2103.33,69.69,1.41,1415.60,52.14,0.25,17.04,54.44,1607.83
FACE_117,5/2/2016,40_II,0-5 ,33.72,,,140.95,2395.93,117.64,2.77,48.61,43.01,0.63,33.52,141.44,2769.15
FACE_118,5/2/2016,40_II,5-15,27.76,,,132.15,1705.74,66.49,0.87,357.04,27.30,2.68,12.90,82.90,2110.09
FACE_119,5/2/2016,40_III,0-5 ,37.11,,,161.88,1847.03,88.70,5.11,303.88,31.70,0.19,54.22,292.21,3587.22
FACE_120,5/2/2016,40_III,5-15,61.55,,,146.46,3258.83,153.71,2.96,1064.71,71.14,,33.13,171.70,4809.11
FACE_121,5/2/2016,120_I,0-5 ,31.61,,,,2410.94,142.48,1.97,435.28,41.39,,32.68,124.33,3181.75
FACE_122,5/2/2016,120_I,5-15,27.97,,,,1570.60,70.69,1.33,1763.58,54.89,,23.55,72.93,2320.70
FACE_123,5/2/2016,120_II,0-5 ,33.48,,,149.77,1504.49,68.99,2.29,903.91,76.31,,2.43,156.45,3066.29
FACE_124,5/2/2016,120_II,5-15,27.43,,,80.39,1852.37,64.82,1.46,2176.32,37.36,,15.25,52.91,2112.00
FACE_125,5/2/2016,120_III,0-5 ,41.28,,,182.80,982.09,104.88,3.55,1377.15,74.33,0.69,89.67,247.69,6161.22
FACE_126,5/2/2016,120_III,5-15,30.68,,,139.85,1523.81,75.50,1.57,986.57,31.06,0.32,26.20,102.99,3181.37
FACE_127,5/2/2016,200_I,0-5 ,32.30,,,176.20,1732.56,68.81,1.21,732.81,87.76,0.39,24.31,92.23,3041.55
FACE_128,5/2/2016,200_I,5-15,29.69,,,125.54,1807.11,53.34,1.62,191.35,40.61,,13.20,85.56,2692.53
FACE_129,5/2/2016,200_II,0-5 ,50.24,,,167.38,2720.72,109.96,4.71,1995.98,76.24,5.20,72.25,375.79,6103.69
FACE_130,5/2/2016,200_II,5-15,21.85,,,112.33,,46.47,1.22,,82.74,0.08,9.93,30.83,1875.90
FACE_131,5/2/2016,200_III,0-5 ,36.97,,,153.07,2022.97,104.75,2.66,,10.33,1.24,55.25,178.54,3935.34
FACE_132,5/2/2016,200_III,5-15,29.36,,,137.65,1860.16,66.41,0.90,57.33,69.34,2.38,124.54,37.67,2190.69
FACE_133,5/2/2016,280_I,0-5 ,34.62,,,147.56,1753.64,79.99,4.37,230.14,157.29,,26.73,98.91,1555.37
FACE_134,5/2/2016,280_I,5-15,28.03,,,103.52,2203.29,64.91,1.79,,46.77,0.22,38.03,38.22,2368.96
FACE_135,5/2/2016,280_II,0-5 ,30.35,,,136.55,,62.36,1.35,,119.29,0.79,44.01,87.35,3518.86
FACE_136,5/2/2016,280_II,5-15,20.21,,,104.62,1390.83,120.70,1.45,391.31,23.48,0.12,21.57,36.88,2314.02
FACE_137,5/2/2016,280_III,0-5 ,31.95,,,159.68,1422.47,76.24,2.17,1289.69,275.62,1.44,26.87,100.09,3251.50
FACE_138,5/2/2016,280_III,5-15,28.28,,,136.55,,68.84,2.08,,130.89,0.86,17.23,43.01,2753.67
FACE_139,5/2/2016,360_I,0-5 ,31.38,,,159.68,1549.58,82.80,2.66,1585.68,257.76,2.50,38.17,110.27,2716.75
FACE_140,5/2/2016,360_I,5-15,26.91,,,116.73,1206.86,73.41,1.73,1270.56,96.75,,19.18,65.84,5110.49
FACE_141,5/2/2016,360_II,0-5 ,32.90,,,137.65,1308.84,77.45,2.49,1004.61,264.71,,33.91,137.78,3395.06
FACE_142,5/2/2016,360_II,5-15,28.92,,,79.29,1791.39,48.79,1.88,869.68,91.99,0.14,19.44,40.94,2771.84
FACE_143,5/2/2016,360_III,0-5 ,35.63,,,156.37,1635.85,89.11,3.85,1121.65,88.06,2.35,65.97,302.97,4567.50
FACE_144,5/2/2016,360_III,5-15,28.13,,,94.70,1415.74,60.69,2.28,2098.70,117.97,1.81,24.00,94.68,2916.99
FACE_145,5/2/2016,440_I,0-5 ,42.32,,,177.30,1437.80,88.37,2.98,1371.97,227.95,1.04,69.20,522.97,5384.03
FACE_146,5/2/2016,440_I,5-15,28.26,,,99.11,1300.55,70.91,1.94,1227.04,7.43,,18.77,77.21,2062.37
FACE_147,5/2/2016,440_II,0-5 ,33.25,,,109.02,1839.59,153.33,2.70,1442.62,264.98,1.30,45.77,244.43,4392.19
FACE_148,5/2/2016,440_II,5-15,26.59,,,61.67,1210.03,58.68,2.14,783.62,77.82,,14.00,67.68,2416.54
FACE_149,5/2/2016,440_III,0-5 ,30.33,,,132.15,1278.36,88.71,2.23,516.33,163.34,0.45,41.39,101.45,3356.60
FACE_150,5/2/2016,440_III,5-15,25.32,,,107.92,1441.61,72.23,1.32,738.47,235.80,,13.18,55.68,1802.61
FACE_151,6/7/2016,40_I,0-5 ,34.07,,,,,,4.55,,,4.39,115.55,554.50,4732.54
FACE_152,6/7/2016,40_I,5-15,28.58,,,,,,2.11,,,4.40,45.63,224.59,2539.46
FACE_153,6/7/2016,40_II,0-5 ,35.99,,,,,,2.27,,,4.11,85.73,550.67,4109.45
FACE_154,6/7/2016,40_II,5-15,30.44,,,,,,1.31,,,2.18,35.98,221.67,2750.18
FACE_155,6/7/2016,40_III,0-5 ,29.17,,,,,,1.33,,,3.30,44.67,212.97,2027.92
FACE_156,6/7/2016,40_III,5-15,26.28,,,,,,1.15,,,1.98,29.00,62.19,1237.87
FACE_157,6/7/2016,120_I,0-5 ,30.18,,,,,,1.82,,,4.16,84.65,290.69,3201.71
FACE_158,6/7/2016,120_I,5-15,27.89,,,,,,1.42,,,2.18,29.03,115.56,1501.20
FACE_159,6/7/2016,120_II,0-5 ,31.03,,,,,,3.47,,,5.47,72.84,406.18,6293.81
FACE_160,6/7/2016,120_II,5-15,28.12,,,,,,2.26,,,2.56,48.80,239.41,4102.44
